th   par   nrr   aver
0.492  0.81  0.999  0.9045
0.493  0.809  0.999  0.904
0.494  0.807  0.999  0.903
0.495  0.806333  0.999  0.902667
0.496  0.804333  0.999  0.901667
0.497  0.802333  0.999  0.900667
0.498  0.802  0.999  0.9005
0.499  0.801333  0.999  0.900167
0.5  0.799667  0.999  0.899333
0.501  0.797667  0.999  0.898333
0.502  0.796  0.999  0.8975
0.503  0.793667  0.999  0.896333
0.504  0.792667  0.999  0.895833
0.505  0.790333  0.999  0.894667
0.506  0.787667  0.999  0.893333
0.507  0.785333  0.999  0.892167
0.508  0.783  0.999  0.891
0.509  0.781  0.999  0.89
0.51  0.78  0.999  0.8895
0.511  0.778  0.999  0.8885
0.512  0.776  0.999  0.8875
0.513  0.774  0.999  0.8865
0.514  0.772  0.999  0.8855
0.515  0.77  0.999  0.8845
0.516  0.768333  0.999  0.883667
0.517  0.765667  0.999  0.882333
0.518  0.764667  0.999  0.881833
0.519  0.763333  0.999  0.881167
0.52  0.76  0.999  0.8795
0.521  0.758667  0.999  0.878833
0.522  0.756667  0.999  0.877833
0.523  0.755333  0.999  0.877167
0.524  0.754667  0.999  0.876833
0.525  0.753667  0.999  0.876333
0.526  0.753333  0.999  0.876167
0.527  0.751  0.999  0.875
0.528  0.749333  0.999  0.874167
0.529  0.747667  0.999  0.873333
0.53  0.745333  0.999  0.872167
0.531  0.744667  0.999  0.871833
0.532  0.743333  0.999  0.871167
0.533  0.741  0.999  0.87
0.534  0.737333  0.999  0.868167
0.535  0.734667  0.999  0.866833
0.536  0.733  0.999  0.866
0.537  0.729333  0.999  0.864167
0.538  0.728  0.999  0.8635
0.539  0.726  0.999  0.8625
0.54  0.724333  0.999  0.861667
0.541  0.722667  0.999  0.860833
0.542  0.720333  0.999  0.859667
0.543  0.718  0.999  0.8585
0.544  0.717  0.999333  0.858167
0.545  0.716  0.999333  0.857667
0.546  0.713333  0.999333  0.856333
0.547  0.711  0.999333  0.855167
0.548  0.708  0.999333  0.853667
0.549  0.706667  0.999333  0.853
0.55  0.704333  0.999333  0.851833
0.551  0.702333  0.999333  0.850833
0.552  0.7  0.999333  0.849667
0.553  0.699  0.999333  0.849167
0.554  0.698  0.999333  0.848667
0.555  0.696  0.999333  0.847667
0.556  0.692667  0.999333  0.846
0.557  0.691  0.999333  0.845167
0.558  0.688667  0.999333  0.844
0.559  0.687333  0.999333  0.843333
0.56  0.685  0.999333  0.842167
0.561  0.682333  0.999333  0.840833
0.562  0.680333  0.999333  0.839833
0.563  0.677667  0.999333  0.8385
0.564  0.674667  0.999333  0.837
0.565  0.672667  0.999333  0.836
0.566  0.668667  0.999333  0.834
0.567  0.665  0.999333  0.832167
0.568  0.663  0.999333  0.831167
0.569  0.661  0.999333  0.830167
0.57  0.657333  0.999333  0.828333
0.571  0.655667  0.999333  0.8275
0.572  0.652667  0.999333  0.826
0.573  0.650667  0.999333  0.825
0.574  0.647333  0.999333  0.823333
0.575  0.645333  0.999333  0.822333
0.576  0.643  0.999333  0.821167
0.577  0.639  0.999333  0.819167
0.578  0.636667  0.999333  0.818
0.579  0.633  0.999333  0.816167
0.58  0.630667  0.999333  0.815
0.581  0.627667  0.999333  0.8135
0.582  0.624333  0.999667  0.812
0.583  0.621333  0.999667  0.8105
0.584  0.619667  0.999667  0.809667
0.585  0.618  0.999667  0.808833
0.586  0.616  0.999667  0.807833
0.587  0.612667  0.999667  0.806167
0.588  0.611  0.999667  0.805333
0.589  0.609667  0.999667  0.804667
0.59  0.606667  0.999667  0.803167
0.591  0.602667  0.999667  0.801167
0.592  0.598667  0.999667  0.799167
0.593  0.597  0.999667  0.798333
0.594  0.594667  0.999667  0.797167
0.595  0.589333  0.999667  0.7945
0.596  0.586333  0.999667  0.793
0.597  0.583667  0.999667  0.791667
0.598  0.581  0.999667  0.790333
0.599  0.578667  0.999667  0.789167
0.6  0.576333  0.999667  0.788
0.601  0.572333  0.999667  0.786
0.602  0.570333  0.999667  0.785
0.603  0.567  0.999667  0.783333
0.604  0.564333  0.999667  0.782
0.605  0.563333  0.999667  0.7815
0.606  0.559667  0.999667  0.779667
0.607  0.558333  0.999667  0.779
0.608  0.555  0.999667  0.777333
0.609  0.553  0.999667  0.776333
0.61  0.549  0.999667  0.774333
0.611  0.546667  0.999667  0.773167
0.612  0.543333  0.999667  0.7715
0.613  0.538667  0.999667  0.769167
0.614  0.536  0.999667  0.767833
0.615  0.534  0.999667  0.766833
0.616  0.531333  0.999667  0.7655
0.617  0.527667  0.999667  0.763667
0.618  0.523  0.999667  0.761333
0.619  0.519  0.999667  0.759333
0.62  0.516667  0.999667  0.758167
0.621  0.512333  0.999667  0.756
0.622  0.509667  0.999667  0.754667
0.623  0.507  0.999667  0.753333
0.624  0.503333  0.999667  0.7515
0.625  0.500667  0.999667  0.750167
0.626  0.497333  0.999667  0.7485
0.627  0.493667  0.999667  0.746667
0.628  0.49  0.999667  0.744833
0.629  0.487667  0.999667  0.743667
0.63  0.485  0.999667  0.742333
0.631  0.482333  0.999667  0.741
0.632  0.480333  0.999667  0.74
0.633  0.478  0.999667  0.738833
0.634  0.474333  0.999667  0.737
0.635  0.472333  0.999667  0.736
0.636  0.468667  0.999667  0.734167
0.637  0.465667  0.999667  0.732667
0.638  0.462333  0.999667  0.731
0.639  0.457667  0.999667  0.728667
0.64  0.453667  0.999667  0.726667
0.641  0.45  0.999667  0.724833
0.642  0.445333  0.999667  0.7225
0.643  0.442  0.999667  0.720833
0.644  0.440333  0.999667  0.72
0.645  0.437667  0.999667  0.718667
0.646  0.433667  0.999667  0.716667
0.647  0.431667  1  0.715833
0.648  0.426667  1  0.713333
0.649  0.424333  1  0.712167
0.65  0.420667  1  0.710333
0.651  0.418667  1  0.709333
0.652  0.415  1  0.7075
0.653  0.412333  1  0.706167
0.654  0.410333  1  0.705167
0.655  0.406667  1  0.703333
0.656  0.404667  1  0.702333
0.657  0.402  1  0.701
0.658  0.399  1  0.6995
0.659  0.395  1  0.6975
0.66  0.393333  1  0.696667
0.661  0.389  1  0.6945
0.662  0.386667  1  0.693333
0.663  0.382333  1  0.691167
0.664  0.38  1  0.69
0.665  0.377667  1  0.688833
0.666  0.376  1  0.688
0.667  0.374  1  0.687
0.668  0.372  1  0.686
0.669  0.368333  1  0.684167
0.67  0.365667  1  0.682833
0.671  0.363  1  0.6815
0.672  0.358667  1  0.679333
0.673  0.355  1  0.6775
0.674  0.352  1  0.676
0.675  0.349667  1  0.674833
0.676  0.346667  1  0.673333
0.677  0.344667  1  0.672333
0.678  0.342333  1  0.671167
0.679  0.338  1  0.669
0.68  0.334333  1  0.667167
0.681  0.331333  1  0.665667
0.682  0.329  1  0.6645
0.683  0.326667  1  0.663333
0.684  0.324333  1  0.662167
0.685  0.321667  1  0.660833
0.686  0.319667  1  0.659833
0.687  0.315333  1  0.657667
0.688  0.313  1  0.6565
0.689  0.309  1  0.6545
0.69  0.307  1  0.6535
0.691  0.304333  1  0.652167
0.692  0.302667  1  0.651333
0.693  0.299667  1  0.649833
0.694  0.297  1  0.6485
0.695  0.294  1  0.647
0.696  0.292667  1  0.646333
0.697  0.290333  1  0.645167
0.698  0.287333  1  0.643667
0.699  0.284333  1  0.642167
0.7  0.280667  1  0.640333
0.701  0.275333  1  0.637667
0.702  0.273  1  0.6365
0.703  0.27  1  0.635
0.704  0.268333  1  0.634167
0.705  0.266333  1  0.633167
0.706  0.263333  1  0.631667
0.707  0.261  1  0.6305
0.708  0.258667  1  0.629333
0.709  0.256  1  0.628
0.71  0.253667  1  0.626833
0.711  0.251667  1  0.625833
0.712  0.248667  1  0.624333
0.713  0.245333  1  0.622667
0.714  0.243333  1  0.621667
0.715  0.241667  1  0.620833
0.716  0.24  1  0.62
0.717  0.238  1  0.619
0.718  0.236333  1  0.618167
0.719  0.233  1  0.6165
0.72  0.231333  1  0.615667
0.721  0.229333  1  0.614667
0.722  0.226667  1  0.613333
0.723  0.222333  1  0.611167
0.724  0.221  1  0.6105
0.725  0.218  1  0.609
0.726  0.214667  1  0.607333
0.727  0.211667  1  0.605833
0.728  0.208333  1  0.604167
0.729  0.204  1  0.602
0.73  0.202  1  0.601
0.731  0.199667  1  0.599833
0.732  0.197  1  0.5985
0.733  0.193667  1  0.596833
0.734  0.192  1  0.596
0.735  0.189333  1  0.594667
0.736  0.187  1  0.5935
0.737  0.185667  1  0.592833
0.738  0.183333  1  0.591667
0.739  0.179333  1  0.589667
0.74  0.175333  1  0.587667
0.741  0.173667  1  0.586833
0.742  0.172  1  0.586
0.743  0.169333  1  0.584667
0.744  0.167333  1  0.583667
0.745  0.165333  1  0.582667
0.746  0.163333  1  0.581667
0.747  0.161333  1  0.580667
0.748  0.158333  1  0.579167
0.749  0.157333  1  0.578667
0.75  0.153667  1  0.576833
0.751  0.153  1  0.5765
0.752  0.150667  1  0.575333
0.753  0.15  1  0.575
0.754  0.149  1  0.5745
0.755  0.147333  1  0.573667
0.756  0.145667  1  0.572833
0.757  0.143333  1  0.571667
0.758  0.140333  1  0.570167
0.759  0.138  1  0.569
0.76  0.136  1  0.568
0.761  0.134667  1  0.567333
0.762  0.133333  1  0.566667
0.763  0.131333  1  0.565667
0.764  0.128  1  0.564
0.765  0.126333  1  0.563167
0.766  0.124667  1  0.562333
0.767  0.122333  1  0.561167
0.768  0.120667  1  0.560333
0.769  0.118333  1  0.559167
0.77  0.116  1  0.558
0.771  0.114  1  0.557
0.772  0.110333  1  0.555167
0.773  0.109333  1  0.554667
0.774  0.107667  1  0.553833
0.775  0.105667  1  0.552833
0.776  0.104  1  0.552
0.777  0.102  1  0.551
0.778  0.101  1  0.5505
0.779  0.100333  1  0.550167
0.78  0.099  1  0.5495
0.781  0.098  1  0.549
0.782  0.096  1  0.548
0.783  0.0946667  1  0.547333
0.784  0.094  1  0.547
0.785  0.0926667  1  0.546333
0.786  0.0916667  1  0.545833
0.787  0.091  1  0.5455
0.788  0.0886667  1  0.544333
